MP-BioPath vs Reactome Curator,,,,,Reactome Curator,,
,,Down,Normal,Up,Total,PPV,F1
,Down,3936,901,345,5182,0.7595522964106523,0.7892520553438942
MP-BioPath,Normal,589,12542,553,13684,0.9165448699210758,0.8788144203482465
predicted_class,Up,267,1416,3891,5574,0.6980624327233584,0.7509408472450062
,Total,4792,14859,4789,24440,,
,TPR,0.8213689482470785,0.8440675684770172,0.8124869492587179,,0.8334288052373159,0.8063357743123823
Cohen's Kappa,0.7501432078559737,,,,,,
Predicted Down,,Positive,Negative,ACC,,,
,Positive,3936,1246,0.9139934533551555,,,
,Negative,856,18402,,,,
,,,,,,,
Predicted Normal,,Positive,Negative,ACC,,,
,Positive,12542,1142,0.8584697217675941,,,
,Negative,2317,8439,,,,
,,,,,,,
Predicted Up,,Positive,Negative,ACC,,,
,Positive,3891,1683,0.8943944353518821,,,
,Negative,898,17968,,,,
,,,,,,,
,TP,TN,FP,FN,Total,ACC,
Up,3891,17968,1683,898,24440,0.8943944353518821,
Normal,12542,8439,1142,2317,24440,0.8584697217675941,
Down,3936,18402,1246,856,24440,0.9139934533551555,
